video_id,label,modality,label_correct,modality_correct,suggested_labels,suggested_modality,reason,cleanup_verdict,cleanup_reason
-JBH9j7-h8U_000030,goose honking,,False,True,"[{""label"": ""duck quacking"", ""modality"": ""both""}]",,"The birds visible in the video are mallard ducks, and the sounds they make are quacks rather than goose honks.",genuine,"Ducks and geese are different animal categories, and a quack is a fundamentally different sound than a honk."
-JGpAlLrSD0_000458,train whistling,,False,False,"[{""label"": ""railroad car  train wagon"", ""modality"": ""both""}]",both,There is no train whistle sound or visual evidence of a whistle blowing in this clip.,genuine,A train whistle is a specific audible event that is completely absent from the clip.
-JUhUI_KvUI_000026,parrot talking,,False,False,"[{""label"": ""gibbon howling"", ""modality"": ""both""}]",both,There are no parrots or talking sounds in the video; the audio consists of gibbon vocalizations.,genuine,The sound source (a gibbon) is a fundamentally different animal category from a parrot.
-JUhUI_KvUI_000026,people burping,,False,False,"[{""label"": ""gibbon howling"", ""modality"": ""both""}]",both,"The video features gibbons, not people, and the action shown is howling rather than burping.",genuine,"The label refers to a human action that is completely absent, as the source is actually a howling gibbon."
-JzMCtGCh4o_000000,frog croaking,,False,False,"[{""label"": ""male speech  man speaking"", ""modality"": ""audible""}]",audible,"There is no sound or visual of a frog croaking in this clip; instead, a male narrator is speaking the title of the show and episode.",genuine,The label refers to an animal sound that is entirely absent; the clip only contains human narration.
-JzMCtGCh4o_000000,parrot talking,,False,False,"[{""label"": ""male speech  man speaking"", ""modality"": ""audible""}]",audible,No parrot is present in the video; the only voice heard is that of a male narrator.,genuine,"The label incorrectly identifies a human narrator as a parrot, which is a fundamentally different source."
-JzMCtGCh4o_000000,people sneezing,,False,False,"[{""label"": ""male speech  man speaking"", ""modality"": ""audible""}]",audible,There are no instances of people sneezing visually or audibly; the clip contains title text and narration.,genuine,Sneezing is a specific action that is completely absent from the clip.
-KqXcm-I2zY_000162,wind rustling leaves,,False,False,[],audible,"The video is recorded indoors at a tennis facility, and there is neither the visual presence of trees/leaves nor the sound of wind rustling them.",genuine,The environmental event described by the label is completely absent from the indoor setting.
-KBH8YmHR-0_000050,chipmunk chirping,,False,False,[],visible,"A ground squirrel (often confused with a chipmunk) is visible interacting with the snake, but it does not make any audible chirping sounds in the clip.",genuine,The specific audible event (chirping) is completely absent from the clip.
-KBH8YmHR-0_000050,snake hissing,,False,False,"[{""label"": ""snake rattling"", ""modality"": ""both""}]",visible,"While the snake is visible, it is clearly rattling its tail rather than hissing; the rattling sound is the dominant noise from the snake.",genuine,"The snake is making a mechanical rattling sound rather than a vocal hiss, which are distinct biological behaviors."
-M7ZNV6gLo0_000310,bird squawking,,False,True,"[{""label"": ""subway  metro  underground"", ""modality"": ""audible""}, {""label"": ""railroad car  train wagon"", ""modality"": ""audible""}]",,There are no bird sounds audible in the clip. The background audio consists of train or subway noise.,genuine,"The label is completely wrong as the sound source is a train/subway, not a bird."
-Lv13WPa4xk_000170,wind noise,,False,True,"[{""label"": ""engine accelerating  revving  vroom"", ""modality"": ""audible""}]",,"The dominant noise besides the speech is the roar of the airplane's jet engines, rather than wind noise hitting a microphone.",genuine,A jet engine is a fundamentally different sound source than wind noise hitting a microphone.
-PyXfNxnHKs_000110,owl hooting,,False,True,"[{""label"": ""opening or closing drawers"", ""modality"": ""both""}, {""label"": ""baby babbling"", ""modality"": ""both""}]",,"There is no owl hooting in the clip. Instead, the video features a child playing with kitchen drawers and utensils while babbling.",genuine,The label refers to an animal sound that is completely absent from the clip.
-RUIfdLiXdk_000045,singing bowl,,False,False,"[{""label"": ""heart sounds  heartbeat"", ""modality"": ""both""}]",both,"The audio features the rhythmic sound of a heartbeat, while the video shows a medical device being held against a person's chest. No singing bowl is heard or seen.",genuine,The sound and visual source (heartbeat/medical device) are fundamentally different from a singing bowl.
-UKH_6moRZc_000180,toilet flushing,,False,True,"[{""label"": ""splashing water"", ""modality"": ""both""}, {""label"": ""sloshing water"", ""modality"": ""audible""}]",,"The man turns on the bathroom sink faucet, which produces the sound of running water; no toilet is flushed.",genuine,A running faucet and a toilet flush are distinct sounds and the indicated source is absent.
-W3WpZvJX2o_000027,lathe spinning,,False,True,"[{""label"": ""running electric fan"", ""modality"": ""both""}]",,"The video features a large industrial fan inflating an orange duct and a plate rolling machine in the background, but no lathe is present.",genuine,The label refers to a specific industrial machine that is entirely absent from the video.
-V9U5F14AVY_000040,waterfall burbling,,False,False,"[{""label"": ""splashing water"", ""modality"": ""both""}, {""label"": ""air conditioning noise"", ""modality"": ""both""}]",both,"The water source is a pipe splashing into a bucket, not a waterfall. Additionally, there is a clearly visible and audible air conditioning unit running in the background.",genuine,A pipe splashing into a bucket is a fundamentally different water source than a waterfall.
-Y8sJDoL1YA_000015,reversing beeps,,False,True,"[{""label"": ""alarm clock ringing"", ""modality"": ""both""}]",,"The beeping sound is the alarm from the clock, not a vehicle in reverse.",genuine,"The sound source is fundamentally different, as an alarm clock and a vehicle in reverse are distinct contexts."
-VLOm8cJZRI_000070,people eating,,False,True,"[{""label"": ""eating with cutlery"", ""modality"": ""both""}, {""label"": ""sloshing water"", ""modality"": ""both""}, {""label"": ""ripping paper"", ""modality"": ""audible""}]",,"The person in the video is exclusively mixing and preparing ingredients; no actual ingestion, chewing, or swallowing of food occurs during the clip.",genuine,"The label refers to an action (ingestion) that is completely absent from the clip, which only shows preparation."
-c6baaENcjA_000204,sea waves,,False,False,"[{""label"": ""swimming"", ""modality"": ""both""}, {""label"": ""splashing water"", ""modality"": ""both""}]",both,"The video shows sea lions in a zoo or aquarium enclosure, not the open sea. The water movement is caused by the animals swimming and splashing, not by ocean waves.",genuine,"The sound source is fundamentally different, as animal splashing in a pool is not the same as natural ocean waves."
-cm0voL_GRM_000322,cell phone buzzing,,False,False,[],,There is no cell phone buzzing sound or visual evidence of a phone in the clip; the background contains a low hum which is likely ambient noise or part of the recording equipment.,genuine,The label refers to an object and sound that are entirely absent from the clip.
-crF-0Z7l3o_000447,playing trombone,,False,True,"[{""label"": ""playing bassoon"", ""modality"": ""both""}, {""label"": ""playing piano"", ""modality"": ""both""}]",,"The instrument being played is a bassoon, not a trombone. There is also a piano accompaniment audible and visible in the background.",genuine,"The instrument is a bassoon, which is fundamentally different from a trombone (woodwind vs. brass)."
-fJsZm3YRc0_000030,tractor digging,,False,False,"[{""label"": ""engine accelerating  revving  vroom"", ""modality"": ""both""}, {""label"": ""car engine idling"", ""modality"": ""both""}]",both,"The video shows a model semi-truck (tractor unit) driving and idling, but no digging activity is present. The sounds are characteristic of a vehicle engine.",genuine,The label describes an action (digging) that is not occurring and a vehicle type that is being misinterpreted.
-fAVezaAX18_000126,playing double bass,,False,True,"[{""label"": ""playing drum kit"", ""modality"": ""both""}, {""label"": ""playing snare drum"", ""modality"": ""both""}]",,There is no double bass (the string instrument) present in the video; the musicians are all playing drum kits.,genuine,"The instrument is fundamentally different, as drums and a double bass belong to different musical families."
-fmmdkXn5YA_000210,bird squawking,,False,False,"[{""label"": ""child speech  kid speaking"", ""modality"": ""both""}]",both,There are no birds in the video. The high-pitched sound is a child in a Pikachu costume speaking into a microphone.,genuine,"The sound source is fundamentally different, as a human child is not a bird."
-fmmdkXn5YA_000210,crow cawing,,False,False,"[{""label"": ""child speech  kid speaking"", ""modality"": ""both""}]",both,There are no crows present. The sound is likely the child's high-pitched vocalization in costume.,genuine,The label refers to a specific bird that is entirely absent from the clip.
-gz_moHFwl4_000016,horse neighing,,False,False,"[{""label"": ""people screaming"", ""modality"": ""both""}]",both,"There is no horse neighing in the clip. Instead, the man on the horse lets out a loud shout ('Yee-haw'), which fits the category of people screaming/shouting.",genuine,"The sound source is fundamentally different, as a human shout is not a horse vocalization."
-gAzofSmRiY_000021,people giggling,,False,True,[],,There is no giggling or laughter occurring in the audio or video segments of this clip.,genuine,The labeled activity of giggling or laughter is completely absent from both the audio and video.
-hA3ZkfDz30_000500,hair dryer drying,,False,False,"[{""label"": ""vacuum cleaner cleaning floors"", ""modality"": ""both""}]",both,"The sound and device shown in the video is a vacuum cleaner nozzle being used to clean robot vacuum wheels, not a hair dryer.",genuine,A vacuum cleaner and a hair dryer are fundamentally different household appliances.
-hA3ZkfDz30_000500,wind noise,,False,False,"[{""label"": ""vacuum cleaner cleaning floors"", ""modality"": ""both""}]",both,"The sound is the air suction from a vacuum cleaner, which is clearly visible and audible, rather than environmental wind noise.",genuine,Mechanical air suction from a vacuum cleaner is a fundamentally different sound source than environmental wind noise.
-hSwZyPPJTc_000075,dog howling,,False,True,"[{""label"": ""fox barking"", ""modality"": ""both""}]",,"The animal featured in the video is a fox, not a dog. It is seen making high-pitched vocalizations.",genuine,"The animal featured is a fox, which is a fundamentally different species from a dog."
-hSwZyPPJTc_000075,dog whimpering,,False,True,"[{""label"": ""fox barking"", ""modality"": ""both""}]",,"The whimpering-like sounds are made by a fox, which is the primary subject of the video.",genuine,"The sounds are produced by a fox rather than a dog, representing a fundamentally different source."
-hYRFCQdbLg_000030,playing piano,,False,False,"[{""label"": ""playing steelpan"", ""modality"": ""both""}]",both,"The instrument being played is a steelpan, not a piano.",genuine,A steelpan is a fundamentally different musical instrument from a piano.
-hn5Sfg7kX0_000000,ferret dooking,,False,False,"[{""label"": ""ripping paper"", ""modality"": ""both""}, {""label"": ""mouse pattering"", ""modality"": ""both""}]",both,"The animal in the video is a guinea pig, not a ferret, and it is making a rustling sound in its bedding rather than a 'dooking' vocalization.",genuine,"The animal is a guinea pig rather than a ferret, and the sound is rustling rather than a vocalization."
-iF4a6f5PJ8_000060,pheasant crowing,,False,False,"[{""label"": ""bird chirping  tweeting"", ""modality"": ""both""}]",both,"While a pheasant is visible, it is foraging on the ground and does not make a crowing sound; only typical songbird chirping is audible.",genuine,"The specific action (crowing) is absent, and the audible chirping comes from a different type of bird."
-jA7nRwQp_E_000030,playing clarinet,,False,False,"[{""label"": ""playing flute"", ""modality"": ""both""}, {""label"": ""playing oboe"", ""modality"": ""both""}]",both,The woodwind instruments visible and audible at the start of the clip are flutes and oboes; no clarinet is featured.,genuine,"The clip features flutes and oboes, which are fundamentally different woodwind instruments from a clarinet."
-jaY3LS3Dv0_000030,baby babbling,,False,False,"[{""label"": ""child speech  kid speaking"", ""modality"": ""both""}, {""label"": ""children shouting"", ""modality"": ""both""}, {""label"": ""child singing"", ""modality"": ""both""}]",both,The individuals in the video are preschool-aged children who are clearly speaking and singing; 'baby babbling' specifically refers to the non-speech vocalizations of infants.,genuine,There is a fundamental difference in source and sound between infant babbling and the speech of preschool-aged children.
-k-hxP5eWko_000030,car engine knocking,,False,True,"[{""label"": ""car engine starting"", ""modality"": ""both""}, {""label"": ""lawn mowing"", ""modality"": ""both""}]",,"The sound is of a lawn mower engine being pull-started, not a car engine knocking.",genuine,A lawn mower engine and a car engine are fundamentally different sound and visual sources.
-k-hxP5eWko_000030,lathe spinning,,False,False,"[{""label"": ""car engine starting"", ""modality"": ""both""}, {""label"": ""lawn mowing"", ""modality"": ""both""}]",both,There is no lathe spinning in the video; the prominent action and sound involve a lawn mower.,genuine,The label refers to a mechanical process (lathe spinning) that is completely absent from the clip.
-mKtgDnG0oM_000030,"male speech, man speaking",,False,True,"[{""label"": ""playing acoustic guitar"", ""modality"": ""both""}, {""label"": ""tapping guitar"", ""modality"": ""both""}]",,The man in the video is focused on playing the guitar and does not speak at any point.,genuine,The label refers to an action (speaking) that is completely absent as the man is only playing an instrument.
-mKtgDnG0oM_000030,people shuffling,,False,False,"[{""label"": ""female singing"", ""modality"": ""both""}, {""label"": ""playing acoustic guitar"", ""modality"": ""both""}]",both,"There is no shuffling of feet or bodies; the performers are seated and focused on their musical performance. Additionally, shuffling is typically both audible and visible, making 'V' an incomplete modality.",genuine,"The label is unambiguously wrong as the performers are seated and stationary, meaning no shuffling is occurring."
-qxw8nbLj_0_000000,people screaming,,False,True,"[{""label"": ""spraying water"", ""modality"": ""both""}]",,There is no distinct sound or visual evidence of people screaming; the primary audio is the sound of water spraying and splashing.,genuine,"The sound of spraying water is fundamentally different from people screaming, which is entirely absent."
-rcoSOKo-qM_000566,bathroom ventilation fan running,,False,False,"[{""label"": ""electric grinder grinding"", ""modality"": ""both""}, {""label"": ""lathe spinning"", ""modality"": ""both""}]",both,"The video shows a workshop with a belt grinder in operation, not a bathroom fan.",genuine,A belt grinder in a workshop is a completely different mechanical source than a bathroom ventilation fan.
-rcoSOKo-qM_000566,running electric fan,,False,False,"[{""label"": ""electric grinder grinding"", ""modality"": ""both""}, {""label"": ""lathe spinning"", ""modality"": ""both""}]",both,"The source of the sound and visuals is a belt grinder machine, not an electric fan.",genuine,"The video shows industrial machinery (a grinder), not a household electric fan."
-rcoSOKo-qM_000566,wind noise,,False,False,"[{""label"": ""electric grinder grinding"", ""modality"": ""both""}, {""label"": ""lathe spinning"", ""modality"": ""both""}]",both,"The audio is the mechanical sound of a belt grinder's motor and moving belt, which is also visible.",genuine,"The sound is mechanical noise from a motor and belt, not atmospheric wind noise."
-rqhMzJRYoc_000030,people coughing,,False,False,"[{""label"": ""people giggling"", ""modality"": ""both""}, {""label"": ""female speech  woman speaking"", ""modality"": ""audible""}]",both,There is no coughing; the woman is hiccuping and giggling while speaking briefly.,genuine,"Hiccuping and giggling are distinct physiological actions from coughing, which is not present."
-t-htrAtNvM_000030,reversing beeps,,False,False,"[{""label"": ""car engine idling"", ""modality"": ""audible""}]",audible,There are no reversing beeps present in either the audio or visual components of the video. The most prominent sound besides speech is the engine of the truck.,genuine,Reversing beeps are a specific tonal alarm that is completely absent from the audio of the truck engine.
-tm7JvKYFcE_000042,bowling impact,,False,False,"[{""label"": ""basketball bounce"", ""modality"": ""both""}]",both,"There is no bowling activity in the clip; the action shown is a ball bouncing on the floor, which is both visible and audible.",genuine,A basketball bouncing is a fundamentally different physical action and sound from bowling pins being hit.
-vNGqcDA6oE_000020,waterfall burbling,,False,False,"[{""label"": ""scuba diving"", ""modality"": ""both""}]",both,"The clip shows an underwater scene with fish and the sound of a scuba regulator, not a waterfall.",genuine,An underwater scuba scene is a fundamentally different environment and sound source than a waterfall.
-uD3ZbhFTnk_000077,cricket chirping,,False,False,"[{""label"": ""bird chirping  tweeting"", ""modality"": ""both""}, {""label"": ""warbler chirping"", ""modality"": ""audible""}]",audible,No crickets are visible or audible; the high-pitched sounds are vocalizations from birds.,genuine,Bird vocalizations and cricket chirps come from fundamentally different biological sources.
-xQbyezhw_k_000040,cat meowing,,False,False,[],,"The cat is visible and reacting to the hair dryer by swatting at it, but it does not meow audibly or visually in the clip.",genuine,The cat is physically active but the specific vocalization 'meowing' is completely absent.
-z3n74RK92U_000006,"male speech, man speaking",,False,True,[],,There is no male voice audible in the video; only a woman is heard speaking.,genuine,"The gender of the speaker is incorrectly identified, which is a fundamental labeling error."
-ziWHyk_fYQ_000106,cricket chirping,,False,True,[],,There is no audible cricket chirping in the video; the background noises are birds.,genuine,"Bird sounds are fundamentally different from insect chirping, which is not present."
-ziWHyk_fYQ_000106,"fly, housefly buzzing",,False,True,[],,There is no sound of a fly buzzing present in the audio track.,genuine,The sound referred to by the label is completely absent from the audio track.
0-EgET9q3qE_000030,playing piano,,False,True,"[{""label"": ""playing electronic organ"", ""modality"": ""both""}, {""label"": ""playing hammond organ"", ""modality"": ""both""}]",,"The instrument is an electronic/Hammond organ, which differs fundamentally from a piano in terms of sound production and visual characteristics like multiple manuals and drawbars.",genuine,An electronic organ is fundamentally different from a piano in its sound production mechanism and timbre.
0-jDld11jhw_000164,playing saxophone,,False,False,"[{""label"": ""playing trumpet"", ""modality"": ""both""}]",both,"The instrument shown and heard in the video is a trumpet, not a saxophone.",genuine,"The instrument is a trumpet, which is a brass instrument, fundamentally different from a saxophone woodwind."
0-o0oZvSFOk_000030,cattle mooing,,False,True,"[{""label"": ""sheep bleating"", ""modality"": ""both""}]",,"The animals shown and heard in the video are sheep, which are bleating, not cattle mooing.",genuine,"The animals are sheep, which belong to a different species and produce a fundamentally different sound from cattle."
00gxEsWO4mo_000259,people eating,,False,True,"[{""label"": ""lip smacking"", ""modality"": ""both""}]",,"The woman is performing ASMR mouth sounds into a microphone, but she is not actually eating any food.",genuine,The action of performing ASMR mouth sounds is fundamentally different from the actual consumption of food.
007P6bFgRCU_000010,orchestra,,False,True,"[{""label"": ""playing trumpet"", ""modality"": ""both""}, {""label"": ""playing saxophone"", ""modality"": ""both""}, {""label"": ""playing piano"", ""modality"": ""both""}, {""label"": ""playing double bass"", ""modality"": ""both""}, {""label"": ""playing drum kit"", ""modality"": ""both""}]",,"The group is a small jazz quintet, which is distinct from a large-scale orchestra.",genuine,A jazz quintet is a small ensemble and is categorically distinct from a large-scale orchestra.
007P6bFgRCU_000010,playing clarinet,,False,True,"[{""label"": ""playing saxophone"", ""modality"": ""both""}]",,"The musician in the center is playing a saxophone, not a clarinet; its shape and sound are characteristic of a saxophone.",genuine,A saxophone and a clarinet are distinct instruments with different appearances and characteristic sounds.
014Rnl2xIZg_000483,people sneezing,,False,True,[],,There is no audio or visual evidence of anyone sneezing; the video consists entirely of a person crushing a foam-like substance.,genuine,The event of sneezing is entirely absent from both the visual and audio components of the clip.
014Rnl2xIZg_000483,plastic bottle crushing,,False,True,"[{""label"": ""squishing water"", ""modality"": ""both""}]",,"The video shows someone crushing dark green floral foam saturated with liquid, which is fundamentally different from a plastic bottle, although the crushing and squelching sounds are somewhat similar.",genuine,"The material being crushed is floral foam, which is fundamentally different in substance and visual appearance from a plastic bottle."
01kxsUBtBZY_000100,printer printing,,False,True,"[{""label"": ""car engine idling"", ""modality"": ""audible""}, {""label"": ""child speech  kid speaking"", ""modality"": ""both""}]",,"There is no printer sound or device in the clip; the audio contains the truck's jingle, the engine idling, and a child's voice.",genuine,There is no printer or printing sound present; the audio consists of unrelated vehicle and child sounds.
0474eRAlFLY_000030,playing snare drum,,False,False,"[{""label"": ""playing bagpipes"", ""modality"": ""both""}]",visible,"A snare drum is visible, but the person holding it is not playing it, and there is no snare drum sound in the audio.",genuine,"While a drum is visible, the action of playing it is not occurring in either the audio or video."
04QV0Xi5YTk_000030,"playing steel guitar, slide guitar",,False,True,"[{""label"": ""playing zither"", ""modality"": ""both""}]",,"The instrument is a zither, which is distinct from a steel or slide guitar; it has a fretboard for melody strings and a separate set of open strings for accompaniment, and is played without a slide bar.",genuine,A zither is a distinct instrument with a fundamentally different structure and playing method than a steel guitar.
04L5PnWm3SQ_000053,dog whimpering,,False,True,"[{""label"": ""female speech  woman speaking"", ""modality"": ""audible""}, {""label"": ""people slurping"", ""modality"": ""both""}]",,"There is no whimpering sound in the clip; instead, a puppy is seen slurping from a bowl, and a woman is heard speaking to the dogs.",genuine,"The whimpering sound is absent, and slurping/speaking are fundamentally different acoustic events."
067izxXJJu4_000020,vehicle horn  car horn  honking,,False,True,[],,There is no sound of a vehicle horn or honking in the clip.,genuine,The honking sound is completely absent from the clip.
06si40RVDco_000030,air horn,,False,False,"[{""label"": ""car engine idling"", ""modality"": ""both""}, {""label"": ""driving motorcycle"", ""modality"": ""both""}]",both,There is no air horn heard or seen; the video shows a motorcycle engine idling.,genuine,There is no air horn; a motorcycle engine is a fundamentally different sound source.
06si40RVDco_000030,plastic bottle crushing,,False,False,"[{""label"": ""car engine idling"", ""modality"": ""both""}, {""label"": ""driving motorcycle"", ""modality"": ""both""}]",both,There is no plastic bottle crushing sound or visual; it is just a motorcycle idling.,genuine,The sound/visual of crushing is absent; the source is a motorcycle engine.
07FxCXxknY4_000030,playing bass guitar,,False,True,"[{""label"": ""playing acoustic guitar"", ""modality"": ""both""}]",,"The video shows and plays the sound of a 6-string acoustic guitar, not a bass guitar.",genuine,An acoustic guitar is a fundamentally different instrument from a bass guitar.
07bi-w2VKeg_000035,lip smacking,,False,True,"[{""label"": ""footsteps on snow"", ""modality"": ""audible""}]",,There is no lip smacking sound present in the audio; the only sound is footsteps.,genuine,The lip smacking sound is completely absent.
07bi-w2VKeg_000035,"male speech, man speaking",,False,False,"[{""label"": ""footsteps on snow"", ""modality"": ""audible""}]",audible,There is no male speech heard or seen in the video; the clip features a static image and audio of footsteps.,genuine,There is no speech heard or seen in the video.
09LqFbgwszg_000155,wind noise,,False,True,[],,"The low-frequency rumbling and scratching sounds in the audio are caused by the stethoscope diaphragm being moved and friction against the skin, not by wind.",genuine,Stethoscope friction sounds are fundamentally different from environmental wind noise.
0BauNGmZtTU_000250,stream burbling,,False,False,"[{""label"": ""raining"", ""modality"": ""both""}]",both,"The video features a pond and distant mountains rather than a stream, and the water sounds present are from rainfall.",genuine,Rainfall and a pond are fundamentally different water sources and sound profiles than a stream.
09kqMqn5rWs_000260,cricket chirping,,False,True,[],,There is no sound of crickets in the audio; it consists only of children's play and trampoline noises.,genuine,The sound of crickets is completely absent from the audio.
09kqMqn5rWs_000260,sliding door,,False,True,[],,There is no sliding door visible in the video; the setting is outdoors on a trampoline.,genuine,The visual of a sliding door is completely absent.
0CA5CPHRXDc_000000,cricket chirping,,False,True,"[{""label"": ""mosquito buzzing"", ""modality"": ""both""}]",,"The high-pitched sound heard is the buzzing of a mosquito, not the chirping of crickets.",genuine,Mosquito buzzing is a fundamentally different sound and source than cricket chirping.
0CA5CPHRXDc_000000,"male speech, man speaking",,False,True,"[{""label"": ""people sniggering"", ""modality"": ""audible""}]",,The man makes a brief laughing or sniggering sound but does not actually speak.,genuine,"The label refers to speech, which is an activity the validator states is completely absent from the clip."
0Cl6hXpryhY_000030,people eating,,False,False,"[{""label"": ""people screaming"", ""modality"": ""both""}]",both,There is no audio or visual evidence of eating; the clip features a zombie model screaming.,genuine,"The label refers to an activity (eating) that is completely absent, replaced by a fundamentally different activity (screaming)."
