id,label,original,modality
5hLkSi3BcWA_000021,cat growling,True,AV
5hLkSi3BcWA_000021,cat hissing,False,-
5hLkSi3BcWA_000021,cat meowing,False,AV
5hLkSi3BcWA_000021,cat purring,False,-
5hLkSi3BcWA_000021,playing bass guitar,False,-
5jNp0IQb5QQ_000320,car engine idling,False,-
5jNp0IQb5QQ_000320,female singing,False,-
5jNp0IQb5QQ_000320,"male speech, man speaking",False,AV
5jNp0IQb5QQ_000320,people screaming,False,-
5jNp0IQb5QQ_000320,"vehicle horn, car horn, honking",True,AV
5lyszxMsT20_000110,playing acoustic guitar,False,AV
5lyszxMsT20_000110,playing harp,True,AV
63Wmu5s4e88_000162,tractor digging,True,AV
6J8rol0Cg3w_000006,church bell ringing,False,-
6J8rol0Cg3w_000006,wind chime,True,AV
6OAXLFoBpLY_000000,cat growling,False,-
6OAXLFoBpLY_000000,cat hissing,False,A
6OAXLFoBpLY_000000,cat meowing,False,A
6OAXLFoBpLY_000000,cat purring,True,AV
6OAXLFoBpLY_000000,people clapping,False,A
6OAXLFoBpLY_000000,people finger snapping,False,A
6OAXLFoBpLY_000000,ripping paper,False,-
6U942AYlcXA_000030,car engine starting,False,AV
6U942AYlcXA_000030,"engine accelerating, revving, vroom",True,AV
6xlLMbiEsIM_000030,"bird chirping, tweeting",False,-
6xlLMbiEsIM_000030,cricket chirping,False,A
6xlLMbiEsIM_000030,"female speech, woman speaking",False,A
6xlLMbiEsIM_000030,fire crackling,False,AV
6xlLMbiEsIM_000030,owl hooting,True,A
6xlLMbiEsIM_000030,wind noise,False,-
7916WqcPKBA_000030,car passing by,False,-
7916WqcPKBA_000030,cat growling,False,AV
7916WqcPKBA_000030,cat hissing,False,AV
7916WqcPKBA_000030,cat meowing,False,AV
7916WqcPKBA_000030,cat purring,True,AV
7916WqcPKBA_000030,"female speech, woman speaking",False,-
7AKffyaVJT0_000004,"male speech, man speaking",False,A
7AKffyaVJT0_000004,running electric fan,True,-
7Gua0-UrKIw_000030,car engine idling,False,-
7Gua0-UrKIw_000030,door slamming,False,AV
7Gua0-UrKIw_000030,"engine accelerating, revving, vroom",False,AV
7Gua0-UrKIw_000030,opening or closing car doors,False,-
7Gua0-UrKIw_000030,reversing beeps,True,AV
7kxpD5UzNpU_000170,"male speech, man speaking",False,AV
7kxpD5UzNpU_000170,striking pool,True,AV
7rMhrFb-DsE_000183,blowtorch igniting,True,AV
7rMhrFb-DsE_000183,playing bass guitar,False,-
7rMhrFb-DsE_000183,playing drum kit,False,A
7rMhrFb-DsE_000183,playing electric guitar,False,A
7rMhrFb-DsE_000183,playing piano,False,-
89536Yebjvc_000110,chinchilla barking,True,AV
8BWcP2uUzpo_000107,beat boxing,False,-
8BWcP2uUzpo_000107,child singing,False,-
8BWcP2uUzpo_000107,female singing,False,AV
8BWcP2uUzpo_000107,male singing,False,AV
8BWcP2uUzpo_000107,people humming,True,-
8BWcP2uUzpo_000107,playing drum kit,False,A
8BWcP2uUzpo_000107,playing tabla,False,-
8BWcP2uUzpo_000107,singing choir,False,-
8Sfjahpupqg_000000,"male speech, man speaking",False,A
8Sfjahpupqg_000000,mouse squeaking,True,A
8Sfjahpupqg_000000,playing bass guitar,False,A
8Sfjahpupqg_000000,playing piano,False,-
8Sfjahpupqg_000000,wind chime,False,-
8SpDSZY-ge0_000451,"heart sounds, heartbeat",True,AV
8WQnGWD-XJE_000040,cat growling,False,-
8WQnGWD-XJE_000040,printer printing,True,AV
8ax7BlXzssY_000000,"child speech, kid speaking",False,-
8ax7BlXzssY_000000,"female speech, woman speaking",False,A
8ax7BlXzssY_000000,popping popcorn,True,AV
8dqn-f5rwNk_000016,"male speech, man speaking",False,A
8dqn-f5rwNk_000016,plastic bottle crushing,True,AV
91z1LeIpLbk_000053,"bird chirping, tweeting",False,A
91z1LeIpLbk_000053,lions growling,True,AV
91z1LeIpLbk_000053,lions roaring,False,-
9Ijpv6e57a4_000030,female singing,False,A
9Ijpv6e57a4_000030,playing bass guitar,False,-
9Ijpv6e57a4_000030,playing drum kit,False,A
9Ijpv6e57a4_000030,playing electric guitar,False,-
9Ijpv6e57a4_000030,playing synthesizer,False,A
9Ijpv6e57a4_000030,skateboarding,True,AV
9WClEjrr_RA_000027,"bird chirping, tweeting",False,AV
9WClEjrr_RA_000027,mynah bird singing,True,AV
9WClEjrr_RA_000027,wind noise,False,-
9WClEjrr_RA_000027,wind rustling leaves,False,-
9_6Sx2Oqq7E_000376,dinosaurs bellowing,True,AV
9_6Sx2Oqq7E_000376,male singing,False,-
9_6Sx2Oqq7E_000376,"male speech, man speaking",False,-
9_6Sx2Oqq7E_000376,people screaming,False,AV
9_6Sx2Oqq7E_000376,playing drum kit,False,A
9_6Sx2Oqq7E_000376,playing piano,False,-
9_6Sx2Oqq7E_000376,playing synthesizer,False,-
9_6Sx2Oqq7E_000376,playing trumpet,False,A
9gCeNCnWZhE_000030,playing flute,False,A
9gCeNCnWZhE_000030,wind noise,False,A
9gCeNCnWZhE_000030,wind rustling leaves,True,-
9mu6h8pTooE_000030,"female speech, woman speaking",False,A
9mu6h8pTooE_000030,horse clip-clop,True,AV
9mu6h8pTooE_000030,"male speech, man speaking",False,AV
9nxDHhDpJUk_000065,"bird chirping, tweeting",False,-
9nxDHhDpJUk_000065,cuckoo bird calling,True,-
9nxDHhDpJUk_000065,sloshing water,False,-
9nxDHhDpJUk_000065,wind noise,False,A
9y2BI6yaNkA_000114,"child speech, kid speaking",False,A
9y2BI6yaNkA_000114,smoke detector beeping,True,AV
A1E-agNyE2U_000172,rope skipping,True,AV
A68tYY9AA9Q_000030,helicopter,True,AV
A7o-wmriwc8_000007,"bird chirping, tweeting",False,AV
A7o-wmriwc8_000007,wind noise,False,-
A7o-wmriwc8_000007,wind rustling leaves,False,V
A7o-wmriwc8_000007,wood thrush calling,True,AV
AKxm4V3OylU_000030,lions growling,False,-
AKxm4V3OylU_000030,lions roaring,True,A
ANWU9Hiy_5k_000040,car passing by,False,AV
ANWU9Hiy_5k_000040,driving buses,False,-
ANWU9Hiy_5k_000040,driving motorcycle,True,AV
ANWU9Hiy_5k_000040,"engine accelerating, revving, vroom",False,A
ANWU9Hiy_5k_000040,playing drum kit,False,A
ANWU9Hiy_5k_000040,"vehicle horn, car horn, honking",False,-
AS_f4Rn-hAc_000007,"bird chirping, tweeting",False,AV
AS_f4Rn-hAc_000007,magpie calling,True,AV
AS_f4Rn-hAc_000007,wind noise,False,-
AS_f4Rn-hAc_000007,wind rustling leaves,False,-
Ac1hVfp6OYU_000060,foghorn,True,A
Ac1hVfp6OYU_000060,helicopter,False,-
Ac1hVfp6OYU_000060,wind noise,False,A
Ac1hVfp6OYU_000060,wind rustling leaves,False,-
AlZUmhHgF8g_000008,chipmunk chirping,True,AV
AlZUmhHgF8g_000008,"female speech, woman speaking",False,-
AlZUmhHgF8g_000008,"male speech, man speaking",False,A
AlZUmhHgF8g_000008,wind noise,False,-
ApNcj8ijJlo_000030,chainsawing trees,True,AV
ApNcj8ijJlo_000030,"female speech, woman speaking",False,-
ApNcj8ijJlo_000030,"male speech, man speaking",False,-
ApNcj8ijJlo_000030,people screaming,False,A
AraV2kvytIY_000024,airplane,False,AV
AraV2kvytIY_000024,airplane flyby,True,AV
AraV2kvytIY_000024,wind noise,False,-
AwJ8orGuOXg_000000,car passing by,False,-
AwJ8orGuOXg_000000,"child speech, kid speaking",False,-
AwJ8orGuOXg_000000,driving buses,True,AV
AwJ8orGuOXg_000000,"male speech, man speaking",False,A
AwJ8orGuOXg_000000,people giggling,False,A
AwUYzbOW5WQ_000006,playing tambourine,True,AV
BQ86IY0M860_000030,"female speech, woman speaking",False,A
BQ86IY0M860_000030,"male speech, man speaking",False,AV
BQ86IY0M860_000030,ocean burbling,False,AV
BQ86IY0M860_000030,sailing,True,AV
BQ86IY0M860_000030,sea waves,False,AV
BQ86IY0M860_000030,splashing water,False,-
BQ86IY0M860_000030,wind noise,False,-
BZRZcFA9Dr4_000260,bull bellowing,False,A
BZRZcFA9Dr4_000260,cattle mooing,True,A
Bg2XkNb5LZE_000140,orchestra,False,-
Bg2XkNb5LZE_000140,playing drum kit,False,A
Bg2XkNb5LZE_000140,playing french horn,True,AV
Bg2XkNb5LZE_000140,"playing violin, fiddle",False,AV
BiNbPvdPthY_000030,dog barking,False,-
BiNbPvdPthY_000030,dog bow-wow,False,AV
BiNbPvdPthY_000030,dog growling,False,-
BiNbPvdPthY_000030,dog whimpering,True,AV
BiNbPvdPthY_000030,"male speech, man speaking",False,AV
Bk34jgx0Vo4_000356,"bird chirping, tweeting",False,AV
Bk34jgx0Vo4_000356,wind noise,False,A
Bk34jgx0Vo4_000356,wind rustling leaves,False,V
Bk34jgx0Vo4_000356,wood thrush calling,True,AV
BqCBBcWN9bw_000023,"male speech, man speaking",False,A
BqCBBcWN9bw_000023,people battle cry,True,AV
BqCBBcWN9bw_000023,people clapping,False,-
BqCBBcWN9bw_000023,people crowd,False,-
BqmRiPZgeVY_000296,air conditioning noise,False,-
BqmRiPZgeVY_000296,"male speech, man speaking",False,AV
BqmRiPZgeVY_000296,people cheering,False,-
BqmRiPZgeVY_000296,people clapping,False,A
BqmRiPZgeVY_000296,playing table tennis,True,AV
C607Hi51zxg_000000,"railroad car, train wagon",True,AV
C607Hi51zxg_000000,train whistling,False,A
C9LzJZ1PpL0_000000,"bird chirping, tweeting",False,-
C9LzJZ1PpL0_000000,car passing by,False,-
C9LzJZ1PpL0_000000,civil defense siren,True,A
CDABuTQLNe8_000140,door slamming,False,-
CDABuTQLNe8_000140,"male speech, man speaking",False,A
CDABuTQLNe8_000140,opening or closing drawers,True,AV
CIAd34BDDHg_000015,scuba diving,False,-
CIAd34BDDHg_000015,sloshing water,False,AV
CIAd34BDDHg_000015,underwater bubbling,True,AV
CMCtge02AnU_000260,playing acoustic guitar,False,A
CMCtge02AnU_000260,playing bass guitar,False,-
CMCtge02AnU_000260,playing double bass,False,-
CMCtge02AnU_000260,playing drum kit,False,AV
CMCtge02AnU_000260,playing electric guitar,False,AV
CMCtge02AnU_000260,playing hammond organ,True,AV
CMCtge02AnU_000260,playing synthesizer,False,-
Cah4MJiVUFI_000030,children shouting,False,AV
Cah4MJiVUFI_000030,female singing,False,AV
Cah4MJiVUFI_000030,male singing,False,AV
Cah4MJiVUFI_000030,people booing,False,-
Cah4MJiVUFI_000030,people cheering,False,-
Cah4MJiVUFI_000030,people clapping,False,AV
Cah4MJiVUFI_000030,people crowd,True,AV
Cah4MJiVUFI_000030,people screaming,False,AV
Cah4MJiVUFI_000030,people whistling,False,AV
Cah4MJiVUFI_000030,playing bass guitar,False,AV
Cah4MJiVUFI_000030,playing drum kit,False,AV
Cah4MJiVUFI_000030,playing electric guitar,False,AV
Cah4MJiVUFI_000030,playing trumpet,False,AV
Ce1P47VwTAI_000030,"child speech, kid speaking",False,-
Ce1P47VwTAI_000030,female singing,False,AV
Ce1P47VwTAI_000030,"female speech, woman speaking",True,-
Ce1P47VwTAI_000030,playing piano,False,A
CgzmlbU6hsk_000030,male singing,False,A
CgzmlbU6hsk_000030,"male speech, man speaking",False,-
CgzmlbU6hsk_000030,playing banjo,True,AV
Chi9u8htrm4_000230,female singing,False,-
Chi9u8htrm4_000230,"female speech, woman speaking",False,AV
Chi9u8htrm4_000230,hair dryer drying,True,AV
Chi9u8htrm4_000230,"male speech, man speaking",False,A
Chi9u8htrm4_000230,people giggling,False,A
D1NDNFZGY7k_000040,"female speech, woman speaking",False,AV
D1NDNFZGY7k_000040,"male speech, man speaking",False,AV
D1NDNFZGY7k_000040,playing bass guitar,False,-
D1NDNFZGY7k_000040,playing cymbal,True,A
D1NDNFZGY7k_000040,playing drum kit,False,A
D1NDNFZGY7k_000040,playing electric guitar,False,-
D1NDNFZGY7k_000040,playing piano,False,-
D1NDNFZGY7k_000040,playing synthesizer,False,-
DNBpRJMEm4s_000030,"male speech, man speaking",False,A
DNBpRJMEm4s_000030,playing electric guitar,True,AV
DQRapqt_69c_000128,"male speech, man speaking",False,A
DQRapqt_69c_000128,playing drum kit,False,-
DQRapqt_69c_000128,playing electric guitar,False,-
DQRapqt_69c_000128,sharpen knife,True,AV
DUsivUkD3ik_000004,"male speech, man speaking",False,A
DUsivUkD3ik_000004,ocean burbling,False,AV
DUsivUkD3ik_000004,playing harp,False,-
DUsivUkD3ik_000004,"rowboat, canoe, kayak rowing",True,AV
DUsivUkD3ik_000004,sea waves,False,AV
DUsivUkD3ik_000004,splashing water,False,-
DV1C1XbdG7A_000220,playing accordion,False,-
DV1C1XbdG7A_000220,playing double bass,False,-
DV1C1XbdG7A_000220,playing harmonica,True,A
DYVwPj_voRw_000030,"bird chirping, tweeting",False,AV
DYVwPj_voRw_000030,goose honking,True,AV
DYVwPj_voRw_000030,wind noise,False,-
Daa2SyGiFBA_000361,"female speech, woman speaking",False,-
Daa2SyGiFBA_000361,"male speech, man speaking",False,-
Daa2SyGiFBA_000361,playing hockey,True,AV
DcpPZ9pltNs_000137,cupboard opening or closing,True,V
DcpPZ9pltNs_000137,door slamming,False,-
DuewD1imTvQ_000019,sheep bleating,True,A
E-hmA_v9ePI_000022,"male speech, man speaking",False,A
E-hmA_v9ePI_000022,mouse squeaking,True,AV
E2DcawleYIY_000030,playing drum kit,False,-
E2DcawleYIY_000030,playing electronic organ,True,AV
E2DcawleYIY_000030,playing synthesizer,False,V
E3XIdP8kxwg_000110,"female speech, woman speaking",False,-
E3XIdP8kxwg_000110,"male speech, man speaking",False,AV
E3XIdP8kxwg_000110,people booing,False,-
E3XIdP8kxwg_000110,skateboarding,True,AV
E4duB2A-ces_000050,"bird chirping, tweeting",False,-
E4duB2A-ces_000050,playing acoustic guitar,False,A
E4duB2A-ces_000050,playing piano,False,-
E4duB2A-ces_000050,sloshing water,False,-
E4duB2A-ces_000050,splashing water,False,-
E4duB2A-ces_000050,spraying water,False,-
E4duB2A-ces_000050,squishing water,False,-
E4duB2A-ces_000050,waterfall burbling,True,AV
E86Oa92UDS4_000009,"male speech, man speaking",False,A
E86Oa92UDS4_000009,mouse clicking,False,-
E86Oa92UDS4_000009,mouse pattering,True,AV
E9fvVHNgC7A_000102,"male speech, man speaking",False,A
E9fvVHNgC7A_000102,people giggling,False,-
E9fvVHNgC7A_000102,running electric fan,True,-
E9ulxBBGUVc_000350,hail,False,-
E9ulxBBGUVc_000350,orchestra,False,A
E9ulxBBGUVc_000350,"playing violin, fiddle",False,A
E9ulxBBGUVc_000350,raining,False,A
E9ulxBBGUVc_000350,thunder,True,A
E9ulxBBGUVc_000350,wind noise,False,-
E9ulxBBGUVc_000350,wind rustling leaves,False,-
EMGNyRa5pEc_000280,"child speech, kid speaking",False,AV
EMGNyRa5pEc_000280,"female speech, woman speaking",False,-
EMGNyRa5pEc_000280,playing bassoon,False,-
EMGNyRa5pEc_000280,playing clarinet,False,A
EMGNyRa5pEc_000280,playing glockenspiel,False,-
EMGNyRa5pEc_000280,"playing marimba, xylophone",True,A
EhhmtF1viOo_000076,"female speech, woman speaking",False,A
EhhmtF1viOo_000076,skiing,True,AV
EhhmtF1viOo_000076,wind noise,False,-
EqgVljnECRY_000170,door slamming,False,-
EqgVljnECRY_000170,opening or closing drawers,True,-
EqgVljnECRY_000170,ripping paper,False,-
EyEVKlDZtrw_000025,tap dancing,True,AV
FDHKDDeamFw_000169,playing acoustic guitar,False,AV
FDHKDDeamFw_000169,playing bass guitar,False,-
FDHKDDeamFw_000169,playing guiro,True,AV
FhOjRWQ8Ylw_000103,"male speech, man speaking",False,A
FhOjRWQ8Ylw_000103,people booing,True,AV
FhOjRWQ8Ylw_000103,people crowd,False,-
FhOjRWQ8Ylw_000103,playing drum kit,False,-
FhOjRWQ8Ylw_000103,playing synthesizer,False,-
FhOjRWQ8Ylw_000103,rapping,False,-
Fk4VP1Qo4so_000018,car engine idling,False,-
Fk4VP1Qo4so_000018,"railroad car, train wagon",False,-
Fk4VP1Qo4so_000018,train horning,True,-
Fl_gvQ9bPvM_000129,eletric blender running,True,AV
