video_id,label,modality,exists,confidence,reason
--U7joUcTCo_000000,"male speech, man speaking",AV,False,1.0,"The man in the video is laughing and coughing, but there is no speech or spoken words heard or seen in the clip."
-Vo4CAMX26U_000030,playing flute,AV,True,0.9,"The man in the video is seen and heard playing a large bamboo wind instrument, which functions as a type of flute or didgeridoo."
-ZJqu_4zLMc_000030,cat meowing,AV,True,1.0,"The cat is visible on screen, and its meowing sounds can be heard clearly at multiple points in the video (e.g., around 0:01 and 0:07) while its mouth moves."
-fJsZm3YRc0_000030,tractor digging,A,False,0.9,"The audio track contains the engine sounds of a remote-controlled semi-truck, but there is no sound of a tractor digging."
-WIDMrHskbI_000350,"playing marimba, xylophone",A,True,0.95,"The background music features the distinct, wooden melodic sounds of a marimba or xylophone playing a rhythm."
-3b9gwBYXp8_000503,eating with cutlery,AV,False,1.0,The video shows a person cutting raw meat with a kitchen knife on a cutting board; there is no eating taking place.
-3b9gwBYXp8_000503,people eating,AV,False,1.0,"The video shows raw meat preparation, specifically slicing beef tenderloin, and no one is eating."
-BftHoV-kXI_000168,"female speech, woman speaking",A,False,1.0,The video only contains underwater bubbling sounds and no speech is heard at any point.
-V9U5F14AVY_000040,waterfall burbling,AV,False,1.0,"The sound and visual source of the flowing water is a plumbing pipe/tap, not a waterfall."
-2sOH8XovEE_000484,playing badminton,AV,False,1.0,"The video shows table tennis (ping pong) being played, not badminton."
-fAVezaAX18_000126,playing double bass,AV,False,1.0,There is no double bass (upright bass) present or being played in either the video or the audio track; the musicians are playing percussion and drums.
-D64b_8YJK4_000046,barn swallow calling,AV,True,0.9,"Barn swallows are clearly visible on the wire, and their characteristic chirping calls are heard on the audio track."
-D64b_8YJK4_000046,wind noise,A,True,0.9,"Low-frequency wind rumble is heard throughout the video clip, acting as background noise on the microphone."
-JUBdOr8Hes_000030,chinchilla barking,AV,False,1.0,The video does not contain a chinchilla or any sounds of a chinchilla barking.
-JUBdOr8Hes_000030,"heart sounds, heartbeat",AV,False,1.0,There are no heartbeat sounds or visual representations of heartbeats in this clip.
-JUBdOr8Hes_000030,people crowd,AV,False,1.0,"There is only one person in the video, and there are no crowd sounds."
-JUBdOr8Hes_000030,playing banjo,AV,False,1.0,"The instrument being played in the video is an accordion, not a banjo."
-7tYmeOmsRg_000058,people eating crisps,AV,False,0.95,"The person in the video is eating Korean corn dogs (some coated with French fries/potatoes), not potato chips or crisps."
-oGJwGEsIiA_000090,swimming,AV,True,1.0,"The video shows children actively swimming in a body of water, and the audio clearly captures the sounds of water splashing and the children laughing and playing."
-JTbHL7OKf0_000052,missile launch,AV,False,1.0,"There is no missile launch present or audible in the video. The video shows a hunter and a dog walking in a field and then crouching, followed by someone shouting/screaming."
-JTbHL7OKf0_000052,"playing marimba, xylophone",AV,False,1.0,There is no marimba or xylophone being played in either the visual or audio track of the video.
-7tYmeOmsRg_000180,"female speech, woman speaking",V,False,1.0,The woman in the video is eating and does not speak at any point in the clip.
-hYRFCQdbLg_000030,playing piano,A,False,0.9,"The audio features steel drums being played, not a piano."
-GW1J75oAKU_000304,playing ukulele,AV,False,1.0,"The instrument being played in the video is a violin (or fiddle) played with a bow, not a ukulele."
-njdG2dcQx0_000220,cricket chirping,A,True,0.9,"The continuous, high-pitched rhythmic insect sounds in the background are characteristic of crickets chirping."
-8lzdlqUtJQ_000061,"alligators, crocodiles hissing",AV,False,1.0,"An alligator is visible in the video, but it does not make any hissing sounds; the audio only contains ambient nature sounds."
-JzMCtGCh4o_000000,frog croaking,AV,False,1.0,"There is no frog visible on the screen, and while a stylized frog-like sound might be heard, the visual component of a frog is entirely absent."
-JzMCtGCh4o_000000,parrot talking,AV,False,1.0,There is no parrot present in either the visual or the audio track of this clip.
-JzMCtGCh4o_000000,people sneezing,V,False,1.0,There are no people shown sneezing in the video clip.
-FoTxwPOz3U_000000,people coughing,A,False,1.0,"There is no sound of anyone coughing in the video. The audible sounds include a child drinking from a cup, speaking, and some background noise, but no coughs are present."
-pBFsYisTCM_000010,children shouting,AV,True,1.0,"At around 00:03 in the video, the young girl is clearly visible and audible shouting 'Dad!' as she enters the house."
-hJ1YTZ5AGI_000030,"female speech, woman speaking",A,True,1.0,"At around 00:01, Miley Cyrus can be heard speaking the words 'You can do it with anything you want.'"
-E5o64ACjm0_000017,electric grinder grinding,AV,False,0.9,"The machine shown and heard in the video is a metal spinning/turning lathe machine, not an electric grinder. There is no abrasive grinding wheel or grinding action occurring in the clip."
-hn5Sfg7kX0_000000,ripping paper,A,True,0.8,"The background audio features a loud, distinct sound resembling paper being ripped, crumpled, or rustled."
-r3nM90RCNs_000161,sharpen knife,AV,True,1.0,"The video shows a person using a sharpening jig to sharpen a knife, and the scraping sound of the stone against the metal blade is clearly audible throughout the clip."
-WVmsxGujF0_000052,stream burbling,AV,True,1.0,"The video shows a flowing river/stream, and the sound of rushing/burbling water is clearly audible in the background throughout the clip."
-nlkWWphiaM_000030,playing drum kit,A,False,0.9,There is no drum kit heard in the audio; only hand percussion (like djembe or cajon) and accordion are audible.
-nlkWWphiaM_000030,playing washboard,AV,False,1.0,No washboard is present or played in either the visual or the audio track.
-bJPDtT31p0_000100,playing cornet,A,False,1.0,The background music is electronic and synth-based; there is no cornet or brass instrument audible in the clip.
-M7ZNV6gLo0_000310,bird squawking,A,False,1.0,"The audio track consists of walking sounds, public transit noise, train engine rumble, passenger chatter, and an automated announcement voice, but there is no sound of a bird squawking."
-hfAbHHlj44_000030,people cheering,A,True,1.0,"The crowd can be heard chanting the names of the fighters ('Rosalina' and 'Bowser Jr.') during their respective segments in the video, which constitutes people cheering."
-ANxUxvGASw_000010,train whistling,A,False,0.9,"The audio contains the mechanical rumbling and metal-on-metal screeching of the train wheels on the tracks, but no actual train whistle or horn is blown during the clip."
-mKtgDnG0oM_000030,"female speech, woman speaking",AV,True,1.0,"The woman is singing and speaking during the video, which is clearly audible on the audio track and visible on the video track."
-mKtgDnG0oM_000030,"male speech, man speaking",AV,False,1.0,The man only plays the guitar and does not speak or sing throughout the entire video.
-mKtgDnG0oM_000030,people shuffling,V,False,0.9,The people in the video are sitting relatively still on concrete blocks; there is no shuffling or walking movement.
-IvJaK7HLtQ_000030,playing sitar,A,False,1.0,The audio features vocal singing accompanied by a harmonium or keyboard instrument; there is no sitar being played.
-lPXTBXa0tE_000030,playing banjo,A,False,1.0,There is no banjo sound in the audio track; only an acoustic slide guitar is being played.
-lPXTBXa0tE_000030,playing bass guitar,A,False,1.0,There is no bass guitar audible in the clip.
-lPXTBXa0tE_000030,playing electric guitar,AV,False,1.0,"The instrument shown and heard is an acoustic slide guitar, not an electric guitar."
-lPXTBXa0tE_000030,playing lacrosse,A,False,1.0,There is no sound or visual related to playing lacrosse.
-Lmibx_Iu_E_000173,"male speech, man speaking",V,False,0.9,There are no visible men speaking in the video; the operator inside the excavator and the people on the background bridge are not shown speaking.
-Lmibx_Iu_E_000173,rapping,A,False,1.0,The only audio in the video is the loud engine noise of the excavator. There is no music or rapping heard.
-GOaBCyC5Js_000087,playing piano,A,True,0.9,"The piano sound is clearly audible in the music accompaniment throughout the video, especially prominent at the end when the scene switches to the pianist."
-GOaBCyC5Js_000087,playing trumpet,AV,True,1.0,"A girl is visibly playing the trumpet in the first part of the video, and the trumpet's melody is clearly heard in the audio track."
-Wsuo4VDwfE_000030,wind rustling leaves,A,False,0.8,"The audio contains clear sounds of an axe hitting a log and birds chirping, but there is no distinct sound of wind rustling leaves."
-T8zbMNxdcw_000207,"child speech, kid speaking",A,False,0.8,"Although children are shouting and playing in the pool, there is no discernible, clear child speech or speaking heard in the audio. The only clear speech comes from the adult instructor at the end."
-CGkSDY0mWI_000096,plastic bottle crushing,AV,True,0.9,"From 0:04 onwards, the video shows plastic bottles and containers being fed into a mechanical shredder, accompanied by the distinct sound of plastic cracking and crushing."
-CGkSDY0mWI_000096,playing drum kit,A,False,1.0,There is no drum kit or any musical instrument playing in the audio; only the mechanical and crushing sounds of the shredder are heard.
-KA76yUSK44_000240,playing cello,AV,True,0.9,"There are multiple cellists on stage clearly playing their cellos, and the sound of cello and other string instruments is clearly audible in the classical music track."
-KA76yUSK44_000240,playing french horn,AV,True,0.8,"French horn players are visible in the background brass section of the orchestra, and the distinctive sound of the French horn can be heard playing the wind melodies/harmonies."
-NQl3o-CGwY_000098,elk bugling,AV,False,1.0,"Although a bugle call sound is heard from around 00:07 onwards, it is from a hunter's call and the elk in the video is not actually bugling (its mouth remains closed)."
-42aitlKedE_000574,people crowd,V,True,1.0,"In the last section of the video (from 00:06 onwards), a crowd of people is clearly visible in the background sitting and watching the pool match."
-ZSgg6jFUd8_000688,lip smacking,AV,True,0.9,"The person can be seen and heard chewing and smacking their lips, especially at the beginning of the video clip."
-ZSgg6jFUd8_000688,people eating,AV,True,0.95,"The person is eating chips, visible on camera, and the crunching sound is audible."
-ZSgg6jFUd8_000688,people slurping,A,False,0.95,"There are no slurping sounds in the video, only crunching and chewing."
-hA3ZkfDz30_000500,hair dryer drying,AV,False,1.0,"The device being used is a vacuum cleaner, not a hair dryer, and it is performing suction rather than drying."
-hA3ZkfDz30_000500,wind noise,AV,False,0.9,"The sound heard is the suction noise from a vacuum cleaner, not atmospheric wind noise, and there is no visual representation of wind."
-gYMAfoDgu0_000705,car engine knocking,A,False,0.9,"The engines in the audio are high-performance racing sprint car engines roaring at high RPMs, with no signs of mechanical engine knocking or pinging."
-gYMAfoDgu0_000705,car passing by,AV,True,1.0,"Sprint cars are seen racing past the finish line, and the sound of their engines increases and decreases in volume as they pass by."
-gYMAfoDgu0_000705,wind noise,A,False,0.8,The audio is dominated by the roar of sprint car engines and crowd murmur; there is no noticeable wind noise blowing into the microphone.
-40nDU5Ecgg_000130,"donkey, ass braying",AV,True,0.9,The cartoon donkey is seen and heard making braying sounds between 00:02 and 00:06.
-40nDU5Ecgg_000130,people sniggering,A,True,0.8,The voice actor of the cartoon donkey can be heard sniggering/giggling around 00:02 to 00:04.
-r2-9oyIzkQ_000030,people crowd,A,False,0.9,"The audio track is a clean mix of the musical instruments and the singer's vocals; no crowd noise, applause, or cheering is audible during the first 10 seconds of the video."
-A3zsFeU_OI_000030,people sniggering,AV,True,1.0,"The woman in the video laughs and sniggers at around 00:01-00:03, which is clearly audible and visible on screen."
-h5ZGw9Ci5c_000450,bird squawking,V,True,0.9,"The mother duck, which is a bird, is shown opening her beak as if squawking or quacking throughout the scene, even though the audio consists only of music and singing."
-h5ZGw9Ci5c_000450,duck quacking,V,True,0.95,"The mother duck is visually depicted opening her beak as if quacking to her ducklings, although the sound is not present in the audio track."
-0Zg_dXR_6I_000013,fire crackling,AV,False,0.85,"While there is a large rocket plume containing fire visible starting around 0:05, the accompanying audio is a deep rumbling and roaring of a rocket launch rather than a distinct fire crackling sound."
-_QPd-VskKY_000030,"male speech, man speaking",A,True,0.8,There is a faint male voice speaking in the background during the video clip.
-_QPd-VskKY_000030,mouse pattering,V,False,0.9,The mouse remains relatively stationary in the person's hand while nibbling on a daisy; it is not seen pattering or running around.
-Q3MX7Tgx_E_000111,cat hissing,AV,False,0.9,"The kitten is visually seen hissing (with its mouth wide open in a startled reaction) after the person sneezes at around 0:07, but the audio track only captures the human's sneeze and does not contain any audible hiss sound from the cat."
-0pJqpNjft4_000267,"male speech, man speaking",A,False,0.95,There is no human speech heard in the audio track; only cow vocalizations and wind are audible.
-0pJqpNjft4_000267,wind noise,A,True,0.9,There is a continuous low-frequency wind rumble blowing against the microphone throughout the clip.
-0pJqpNjft4_000267,wind rustling leaves,A,False,0.8,"While there is wind noise affecting the microphone, the distinct sound of leaves rustling in the wind is not clearly discernible over the cows' mooing and direct wind noise."
-JUhUI_KvUI_000026,parrot talking,A,False,1.0,"The audio consists of loud siamang (gibbon) vocalizations and calls, not parrot talking."
-JUhUI_KvUI_000026,people burping,V,False,1.0,"The video features siamang gibbons in a grassy area, and there are no people depicted, let alone burping."
-CZ1LIc8aos_000020,people belly laughing,A,False,0.8,"The audio contains a brief chuckle and light laughter from a passenger, but it is not the deep, hearty, and prolonged sound characteristic of belly laughing."
-7TanrCbmME_000030,"male speech, man speaking",AV,False,0.9,"The person in the video is a young boy, not a man, and he is singing rather than speaking."
-7TanrCbmME_000030,playing electric guitar,A,False,0.8,"The background accompaniment features an acoustic guitar or a keyboard synth, not an electric guitar."
-QsPqh8Kyrc_000170,people crowd,AV,True,0.95,A crowd of onlookers is clearly visible in the background and their cheers and reactions are audible throughout the clip.
-QsPqh8Kyrc_000170,people screaming,A,True,0.9,Audible cheering and screaming from the crowd can be heard in response to the wrestler's moves.
-QsPqh8Kyrc_000170,people sniggering,A,True,0.85,Laughter and sniggering from the spectators are heard around the 0:03 to 0:05 mark.
-QsPqh8Kyrc_000170,skidding,AV,False,0.9,There is no skidding sound or visual event of skidding (like tires or slipping on a hard surface with friction noise) in the video.
-O4W3NA5-uA_000150,"male speech, man speaking",A,True,0.9,"At around 0:05, a male voice is heard saying 'Bravo' or similar exclamation."
-O4W3NA5-uA_000150,people crowd,A,False,0.8,There is no crowd noise audible in the clip; only a few individual sounds.
-O4W3NA5-uA_000150,"pigeon, dove cooing",A,True,0.95,The distinctive cooing sound of a pigeon or dove is clearly audible in the background throughout the first few seconds of the clip.
-O4W3NA5-uA_000150,wind rustling leaves,A,False,0.8,"There is some outdoor microphone noise, but no distinct sound of wind rustling leaves can be heard."
-T2MO0xBNwM_000026,"motorboat, speedboat acceleration",AV,False,1.0,"There is no motorboat or speedboat visible in the video, and no sound of motorboat acceleration can be heard in the audio track."
-0p7hKXZ1ww_000030,footsteps on snow,AV,True,0.9,We can see the person running on the snow-covered ground and clearly hear the crunching sound of footsteps on snow.
-0p7hKXZ1ww_000030,lighting firecrackers,AV,False,0.8,"The act of lighting the firecracker (using a lighter or match) is not clearly visible because the person's back is turned, and there is no distinct sound of a lighter or match being struck."
-KCYC-n5Uag_000022,barn swallow calling,AV,False,1.0,There are no barn swallows visible or audible in this nighttime urban street video.
-KCYC-n5Uag_000022,"bird chirping, tweeting",AV,False,1.0,There are no birds visible or audible in the video. The sound heard is a melodic electronic chime/bell.
-KCYC-n5Uag_000022,slot machine,AV,False,1.0,There is no slot machine visible or audible in this outdoor street setting.
-rcoSOKo-qM_000566,bathroom ventilation fan running,AV,False,1.0,"There is no bathroom ventilation fan visible in the scene, nor is there any sound of a running fan; the video shows a person working on a belt sander in a workshop."
-rcoSOKo-qM_000566,running electric fan,AV,False,1.0,There is no running electric fan visible or audible in this video.
-rcoSOKo-qM_000566,wind noise,A,False,0.9,"The audio contains physical handling sounds and low-frequency rustling of clothing, but there is no wind noise present."
-_yRmyG71Z0_000036,"bird chirping, tweeting",A,True,1.0,"Clear, distinct high-pitched bird calls (woodpecker chip/kik notes) are heard throughout the video."
-_yRmyG71Z0_000036,bird squawking,AV,False,0.9,"The bird is visible, but it does not make any squawking sounds, nor can we see it vocalizing a squawk."
-_yRmyG71Z0_000036,wind noise,A,True,0.9,There is a noticeable low-frequency wind rumble in the background audio throughout the clip.
-3-4qmWSJXU_000030,car engine starting,AV,False,1.0,"There is no sound of a car engine starting, nor is there any visual of a car engine starting during the video clip. Only the sound of rain and thunder, and a car driving by are present."
-0BIyqJj9ZU_000030,"child speech, kid speaking",A,False,0.9,"There is a baby laughing/making sounds in the audio, but no child speech or kid speaking is present."
-0BIyqJj9ZU_000030,"male speech, man speaking",AV,False,0.95,"The man is laughing throughout the video, but he does not speak."
-0BIyqJj9ZU_000030,wind noise,A,False,0.98,There is no wind noise audible in the clip; it is recorded indoors.
-rqhMzJRYoc_000030,people coughing,AV,True,0.95,The woman is clearly visible and audible coughing multiple times during the video clip.
-Cv3gOXEoxA_000040,chicken clucking,A,False,1.0,There are no chicken clucking sounds in the audio; the only animal sounds are the fox screeching and distant dogs barking.
-Cv3gOXEoxA_000040,wind rustling leaves,AV,False,0.9,The leaves are mostly still in the video and there is no audible sound of wind rustling through them.
-s5ZidRvnjQ_000250,"playing marimba, xylophone",A,False,0.9,There are no percussive mallet sounds like a marimba or xylophone in the audio track.
-s5ZidRvnjQ_000250,playing synthesizer,A,True,1.0,The entire audio track consists of a synthesizer drone/pad sound.
-k-hxP5eWko_000030,car engine knocking,AV,False,1.0,There is no car engine present in either the audio or visual track. The lawnmower engine does not start or knock during the video.
-k-hxP5eWko_000030,car engine starting,AV,False,1.0,"The video shows a lawnmower engine being cranked, not a car engine. Furthermore, the engine fails to start."
-k-hxP5eWko_000030,lathe spinning,A,False,1.0,"The sound heard is a small engine starter motor cranking, not a lathe spinning."
-r-k-BvQbRM_000038,bird wings flapping,AV,False,0.8,"While the bird can be seen flapping its wings as it flies away around 0:01, the sound of the wings flapping is not clearly audible in the audio track."
-r-k-BvQbRM_000038,warbler chirping,AV,False,0.9,"Although bird chirping can be heard throughout most of the video, there is no bird visible on screen producing these sounds."
-5z9IXBJefc_000227,playing drum kit,AV,False,0.9,"The musicians are playing traditional African hand drums (like the djembe and dunun), not a standard drum kit with a bass drum, snare, and cymbals."
-5z9IXBJefc_000227,playing tambourine,A,False,0.85,"The audio contains the sounds of hand drums, sticks on wood/drums, and possibly a shaker, but there is no tambourine sound (which typically features metallic jingles)."
-86gl1hp1Aw_000105,parrot talking,V,False,0.9,"The parrot in the video does not appear to be talking or making speech-like movements with its beak; it is simply looking around, moving its head, and turning to walk away."
-NwBdmVSg1w_000000,cat hissing,AV,True,0.9,"The cat can be heard making a distinct hissing sound from around 00:04 onwards, and the cat is clearly visible on screen during this time."
-rTTPoBJNI4_000123,playing electric guitar,A,False,0.9,"There is no sound of an electric guitar playing in the background audio; instead, we hear brass/horn sounds and a tambourine playing."
-rTTPoBJNI4_000123,playing theremin,A,False,1.0,There is no theremin sound present in the audio track of the video.
-HMEhGV38GM_000216,"male speech, man speaking",AV,True,0.85,"The man in the video is vocalizing and scatting along with the beat, which is audible and visible."
-HMEhGV38GM_000216,playing bongo,AV,False,0.9,"The musician is playing conga drums (tumbadoras), not bongos, which are distinct, smaller hand drums."
-tm7JvKYFcE_000042,wind noise,A,False,1.0,The video takes place indoors and there is no sound of wind blowing or wind noise audible in the audio track.
-l-E3kyNcag_000150,playing bugle,AV,False,0.9,"None of the musicians in the video are playing a bugle; instead, they are playing brass instruments such as the French horn, tuba, trombone, and trumpet."
-nQ9a0P1TlY_000023,female singing,AV,True,1.0,The young girl is seen and heard singing lyrics from the song 'Do You Want to Build a Snowman?' throughout the entire clip.
-nQ9a0P1TlY_000023,"female speech, woman speaking",A,False,0.9,"The girl in the video is singing, not speaking, and her voice is that of a young child rather than an adult woman."
-vAtBe4LMCQ_000063,people eating crisps,AV,False,1.0,"The woman in the video opens a bag of potato chips (crisps) and smells them, but she does not eat them during this video clip."
0-o0oZvSFOk_000030,cattle mooing,A,False,0.9,"The sounds heard in the video are sheep bleating (baaing), not cattle mooing."
-uGHAvfqs2I_000030,cat meowing,AV,True,1.0,"The cat is visible in the frame, particularly around 0:04 to 0:06, where it looks up, opens its mouth, and a clear meowing sound can be heard simultaneously."
-uaTK8sa5Ms_000010,planing timber,AV,False,1.0,There is no planing timber seen or heard in the video; the video shows behind-the-scenes filming of a homemade movie.
-uaTK8sa5Ms_000010,playing theremin,AV,False,1.0,There is no theremin playing or visible in the video.
-uaTK8sa5Ms_000010,playing washboard,AV,False,1.0,There is no washboard playing or visible in the video.
-yI3BN2OrO4_000352,people whispering,A,True,1.0,The entire video features a person whispering the search terms and actions they are performing in Clash of Clans.
00KM53yZi2A_000030,cat purring,AV,False,1.0,"The cat is interacting with a printer, and the audible sounds are those of the printing device and the cat striking the paper. No purring sound is present in the audio track."
09pZj6CEvRw_000250,cricket chirping,A,False,1.0,"The audio only contains the sound of bells ringing and some distant background noise, with no cricket chirping audible."
-wP6ycrwb9U_000026,singing bowl,AV,False,1.0,"There is no singing bowl present in the video. Instead, a white plate with floral patterns, a spoon, and a red measuring cup are being used to mix ingredients, and there is no sound of a singing bowl in the audio track."
-sbrgNGuWXE_000270,playing clarinet,AV,False,1.0,"The instrument shown and heard in the video is a recorder, not a clarinet."
-xCaTrKy1CI_000000,"playing marimba, xylophone",A,True,0.8,The background music contains a prominent synthesized melody that sounds like a marimba or xylophone playing.
-vZ-_4oFCzs_000017,cat meowing,AV,True,1.0,"The black cat is clearly visible throughout the clip, and its mouth movements align with the audible meowing sounds starting around 0:03."
0-jDld11jhw_000164,playing saxophone,AV,False,1.0,"The instrument being played in both the visual and audio track is a trumpet (or cornet), not a saxophone."
01kxsUBtBZY_000100,printer printing,A,False,1.0,"The audio contains ice cream truck music and human speech, but there is no sound of a printer printing."
-u-40BIU1HE_000014,cat hissing,AV,True,1.0,The cat is clearly seen opening its mouth and showing its teeth while making a distinct hissing sound at approximately 00:01 and 00:07 in the video.
0BauNGmZtTU_000250,stream burbling,AV,False,1.0,"There is no stream visible in the video, nor is there any sound resembling a burbling stream; the audio consists only of wind and a thunder rumble."
0DOFzYwOoPg_000133,people sneezing,A,False,0.95,"The audio contains sniffing and coughing, but no sneezing."
054iiUoKoyo_000010,playing synthesizer,A,True,0.8,"The audio features a synthesized flute/wind instrument sound, which is produced electronically/synthesized."
0CA5CPHRXDc_000000,cricket chirping,A,False,1.0,"The sound heard in the video is a mosquito buzzing, not crickets chirping."
0-EgET9q3qE_000030,playing piano,AV,False,1.0,"The instrument shown and heard in the video is an organ, not a piano. Both the visual appearance (multiple manuals, registers, stops) and the synthesized organ sound confirm that the person is playing an organ rather than a piano."
0D8KognM4uY_000282,"male speech, man speaking",A,False,1.0,"There is no male speech or voiceover heard in the video; only crowd cheering, ice hockey play sounds, and transition sound effects are audible."
077aWlQn6XI_000030,"female speech, woman speaking",A,True,0.9,"At the very beginning of the video, around 00:00-00:02, a female voice can be heard saying a brief phrase in Chinese (sounds like '妈呀' or '哎呀') before the male voice and traffic sounds take over."
0FjrveIENzI_000020,rapping,AV,False,1.0,"There is no rapping shown visually in the video, nor is there any clear rapping on the audio track that matches a person performing on screen."
-zfmvtpsQq8_000000,wind noise,A,True,0.9,"Audible wind rustling and blowing against the microphone is present in the background, especially noticeable during the second half of the clip when the man is speaking outdoors."
014Rnl2xIZg_000483,people sneezing,AV,False,1.0,There is no sneezing visible or audible in the video.
014Rnl2xIZg_000483,plastic bottle crushing,AV,False,1.0,"There is no plastic bottle present in the video, and the sounds heard are of squishing moldable sand/foam, not crushing a plastic bottle."
09LqFbgwszg_000155,wind noise,A,False,1.0,"There is no wind noise audible in the clip. The audio consists of a heartbeat sound and some handling/rustling noises as the stethoscope is moved, but no wind."
06si40RVDco_000030,air horn,A,False,1.0,The audio track only contains the sound of a motorcycle engine idling and revving; there is no air horn sound present in the video.
06si40RVDco_000030,plastic bottle crushing,A,False,1.0,The audio track contains only the rumble of a motorcycle engine; there is no sound resembling the crushing of a plastic bottle.
-vg8ttgP32I_000018,car passing by,AV,False,0.9,"The vehicle driving and passing by the camera is a remote-controlled (RC) scale model car, not an actual passenger car passing by. A real car is visible in the background at the end, but it is stationary and does not pass by."
07FxCXxknY4_000030,playing bass guitar,AV,False,1.0,"The instrument shown and heard in the video is a standard six-string acoustic guitar, not a bass guitar."
0HBJuYt2Eys_000032,beat boxing,A,False,1.0,"The audio consists of DJ scratching on a vinyl record and electronic beats, with no human voice performing beat boxing."
-yicwYUKKuo_000304,wind rustling leaves,A,False,0.95,The dominant sound in the audio track is the loud rotor and engine noise of the helicopter; there is no sound of wind rustling leaves.
0CEsVHHkwww_000030,"race car, auto racing",AV,False,1.0,"The vehicles in the video are snowmobiles, not race cars, and the event is snowmobile racing rather than auto racing."
02UvvE1oA1I_000030,goat bleating,AV,False,0.9,"The animals in the video are sheep, not goats, so they are sheep bleating rather than goat bleating."
-yrglmBmErg_000225,opening or closing car doors,V,True,0.95,The futuristic red concept car's doors are seen opening upward and backward starting from around 0:01 to 0:08 in the video.
0IzhjqyDzt8_000000,airplane,V,False,1.0,There is no airplane visible in the video; the visual shows only the exterior of Westminster Abbey and some cars on the street.
0IzhjqyDzt8_000000,airplane flyby,V,False,1.0,No airplane flyby is seen in the video.
0IzhjqyDzt8_000000,"male speech, man speaking",A,False,1.0,There is no male speech in the audio; only the sound of church bells ringing is audible.
04QV0Xi5YTk_000030,"playing steel guitar, slide guitar",AV,False,0.9,"The instrument shown and heard in the video is a concert zither, not a steel guitar or slide guitar."
0QSPtpp1HN8_000030,playing piano,AV,False,1.0,"The instrument being played is an organ, not a piano, both visually (multiple keyboards, stops, pedals) and audibly (organ pipes/electronic organ sound)."
0IyXjTa_wmQ_000111,barn swallow calling,AV,True,1.0,"The video shows young barn swallows in their nest, opening their mouths to chirp, which matches the audible bird calls."
